"Player","League","Team","Position","Age","Market value","Contract expires","Matches played","Minutes played","Goals","xG","Assists","xA","Birth country","Foot","Height","On loan","Successful defensive actions per 90","Defensive duels per 90","Defensive duels won, %","Aerial duels per 90","Aerial duels won, %","Shots blocked per 90","PAdj Interceptions","Non-penalty goals per 90","xG per 90","Head goals per 90","Shots","Shots per 90","Shots on target, %","Goal conversion, %","Crosses per 90","Accurate crosses, %","Dribbles per 90","Successful dribbles, %","Offensive duels per 90","Offensive duels won, %","Touches in box per 90","Progressive runs per 90","Accelerations per 90","Passes per 90","Accurate passes, %","Forward passes per 90","Accurate forward passes, %","Long passes per 90","Accurate long passes, %","xA per 90","Smart passes per 90","Key passes per 90","Passes to final third per 90","Accurate passes to final third, %","Passes to penalty area per 90","Accurate passes to penalty area, %","Deep completions per 90","Progressive passes per 90","Accurate progressive passes, %","Conceded goals per 90","Shots against per 90","Save rate, %","xG against per 90","Prevented goals","Prevented goals per 90","Exits per 90"
"G. Hamer","England 2.","Sheffield United","LW, LAMF, RCMF","28","15000000","2027-06-30","25","1780","2","2.58","7","4.05","Brazil","right","169","no","4.9","5.31","50.48","0.81","37.5","0.05","2.79","0.1","0.13","0","44","2.22","31.82","4.545","1.67","24.24","1.77","57.14","4.25","45.24","1.31","1.31","0.2","40.4","75.22","15.27","63.25","4.5","47.19","0.2","0.35","0.51","8.19","61.73","4.8","45.26","1.87","7.99","82.91","","","0","0","","",""
"A. Browne","England 2.","Middlesbrough","RDMF, RCMF, RB","30","3000000","2027-06-30","26","1780","3","3.04","1","0.56","Republic of Ireland","right","179","yes","8.65","5.81","64.35","4.55","42.22","0.4","7.09","0.15","0.15","0","17","0.86","35.29","17.647","1.06","19.05","1.26","60","5.11","44.55","1.72","1.62","0.25","51.07","86.34","15.22","75.08","2.68","54.72","0.03","0.05","0.2","6.93","81.02","1.67","39.39","0.56","6.42","70.08","","","0","0","","",""
"J. Makama","England 2.","Norwich City","CF, RAMF","22","0","2028-06-30","28","1774","10","8.82","0","1.74","England","right","195","no","3.65","2.54","60","5.73","39.82","0.2","2.96","0.51","0.45","0","42","2.13","45.24","23.81","1.47","13.79","3.55","57.14","9.64","36.84","3.8","1.88","0.1","15.37","67.33","3.09","44.26","0.76","26.67","0.09","0","0.3","1.22","45.83","1.07","19.05","0.3","1.67","54.55","","","0","0","","",""
"T. Doyle","England 2.","Birmingham City","RDMF, RCMF","24","10000000","2026-05-31","29","1772","0","0.56","3","2.98","England","right","172","no","8.74","5.54","61.47","1.17","34.78","0.3","7.54","0","0.03","0","21","1.07","14.29","0","1.52","40","0.36","57.14","2.34","45.65","0.15","0.41","0.05","46.37","84.23","13.05","72.76","5.89","47.41","0.15","0.25","0.2","7.67","68.87","2.95","46.55","0.81","6.7","71.97","","","0","0","","",""
"Z. Swanson","England 2.","Portsmouth","LB, RB","25","200000","2026-06-30","25","1766","1","1.28","0","0.54","England","right","189","no","9.53","5.91","67.24","3.36","54.55","0.2","7.28","0.05","0.06","0","16","0.82","25","6.25","1.02","20","1.17","52.17","3.01","45.76","1.22","1.68","0.25","34.04","80.69","14.01","72","4.13","55.56","0.03","0.05","0.1","4.59","68.89","1.27","44","0.31","7.29","68.53","","","0","0","","",""
"J. Currie","England 2.","Oxford United","LB","24","0","","23","1761","0","0.48","1","1.59","England","left","175","no","10.89","8.64","62.72","3.73","45.21","0.2","6.24","0","0.02","0","5","0.26","20","0","1.94","28.95","1.58","54.84","3.88","32.89","0.72","1.48","0.26","31.58","75.89","11.65","64.04","4.6","48.89","0.08","0.1","0.51","3.78","62.16","2.4","48.94","0.77","6.59","59.69","","","0","0","","",""
"D. Mubama","England 2.","Stoke City","CF","21","1000000","2026-06-30","25","1756","5","5.53","1","0.32","England","left","183","yes","2.61","1.69","60.61","6.1","34.45","0","2.4","0.26","0.28","0.1","39","2","43.59","12.821","0.05","0","0.92","50","7.07","31.88","3.18","0.46","0.05","11.07","81.02","1.33","65.38","0.36","57.14","0.02","0","0.1","1.28","64","0.41","50","0.36","0.92","77.78","","","0","0","","",""
"Eom Ji-Sung","England 2.","Swansea City","LAMF, LW","23","700000","2028-06-30","31","1748","1","3.65","0","3.24","Korea Republic","right","176","no","6.44","5.56","53.7","4.69","42.86","0.15","4.22","0.05","0.19","0","42","2.16","28.57","2.381","2.63","33.33","4.48","66.67","9.73","48.15","2.42","2.21","0.21","24.04","76.23","4.69","65.93","1.29","52","0.17","0.05","0.26","1.91","67.57","2.16","50","0.67","3.81","64.86","","","0","0","","",""
"E. Kayembe","England 2.","Watford","LCMF, LDMF","27","3000000","2026-06-30","26","1744","3","2.7","0","1.44","Congo DR","left","183","no","4.85","4.13","60","3.1","41.67","0.05","3.5","0.1","0.14","0.05","28","1.44","32.14","10.714","0.83","50","1.03","70","6.92","34.33","0.52","1.29","0","40.67","86.42","10.99","73.71","2.63","52.94","0.07","0.1","0.52","7.17","78.42","1.75","50","0.41","5.88","71.93","","","0","0","","",""
"R. Atkinson","England 2.","Bristol City","LCB","27","2000000","2028-06-30","22","1739","3","1.29","1","0.31","England","left","193","no","8.54","4.3","75.9","7.19","70.5","0.62","6.13","0.16","0.07","0.16","8","0.41","62.5","37.5","0.26","40","0.31","66.67","2.02","61.54","0.88","1.97","0.26","38.76","83.31","16.72","71.52","3.99","37.66","0.02","0.05","0.26","4.76","58.7","0.88","35.29","0.1","6.83","64.39","","","0","0","","",""
